MLS,CurrentPrice,SquareFeet,Bedrooms,Bathrooms,Garage,YearBuilt,LotSize,Taxes,DaysonMarket,OriginalPrice
4035369,319900,1980,3,1,2,1915,18408,2622,182,319900
4038652,119900,1836,2,2,0,1890,5270,2012,60,119900
4040020,143500,1424,4,2,2,1895,5520,1490,5,143500
4030972,209000,3550,4,2,2,1974,,2624,403,220000
4036213,119000,1792,3,2,1,1890,5985,1508,152,119000
4035294,59900,2184,4,2,0,1900,2200,660,179,74900
4038960,118900,1402,3,1,1,1930,5875,1158,46,118900
4034681,129900,2400,4,2,0,1907,6500,1456,211,129900
4002461,75000,828,2,1,0,1890,,464,30,75000
4036205,55000,624,1,1,2,1882,2800,526,158,58900
4040069,109900,1768,4,1,2,1922,3250,1180,8,109900
4036378,147000,2520,4,3,2,1875,8400,1632,152,147000
4022938,79900,1281,2,1,1,1946,4650,690,775,87900
4038553,79900,616,2,1,2,1953,2400,828,63,79900
4038961,74900,1780,4,2,0,1895,4840,1240,45,84900
4036253,149900,2353,3,5,2,1885,7500,1714,156,155900
4035798,84900,812,2,1,2,1890,3500,472,162,84900
4038928,103000,1024,2,1,3,1890,7000,1074,52,103000
4033306,279000,3960,3,3,2,1982,16000,2990,300,329900
4039656,239900,1970,3,1,2,1932,,2030,25,239900
4038808,90000,1182,2,1,1,1870,6300,980,50,90000
4038909,114900,1206,3,2,2,1885,5904,1048,54,114900
4038019,118675,1756,3,2,1,1949,5250,1404,91,123375
4022403,243375,1940,3,2,0,2010,5640,892,748,349900
4038941,149900,2800,2,2,1,1959,9520,1922,91,169900
4023812,117900,2504,3,1,1,1915,6324,1128,736,123000
4036837,119900,1810,2,2,2,1951,5781,1436,133,129900
4033424,69900,1740,3,2,1,1880,3500,746,255,84900
4038308,166000,1872,3,1.5,2,1914,7000,890,75,174900
4038071,169900,2604,3,3,2,1978,7378,1898,85,182500
4039674,119500,1104,3,1,2,1926,5320,1166,16,119500
4039546,119000,1056,2,2,1,1977,1848,1364,23,119000
4039325,104900,1992,3,1,0,1890,4800,1516,35,104900
4037376,139500,1314,2,2,2,1995,6600,1694,160,149500
4029172,169000,2288,3,3,2,1988,2176,1910,479,179900
4031697,169900,1434,2,3,2,2008,1440,2264,374,193900
